2026-01-06 09:00:01, IP=10.0.0.5, EVENT=LOGIN_SUCCESS, USER=alice
2026-01-06 09:00:05, IP=10.0.0.6, EVENT=LOGIN_SUCCESS, USER=bob
2026-01-06 09:00:12, IP=192.168.1.20, EVENT=LOGOUT, USER=carol
2026-01-06 09:01:00, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:01:03, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:01:07, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:01:11, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:01:15, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=admin
2026-01-06 09:01:20, IP=10.0.0.5, EVENT=LOGIN_SUCCESS, USER=alice
2026-01-06 09:02:00, IP=198.51.100.7, EVENT=PORT_SCAN, USER=admin
2026-01-06 09:02:30, IP=198.51.100.7, EVENT=LOGIN_FAILED, USER=admin
2026-01-06 09:03:00, IP=10.0.0.6, EVENT=LOGIN_SUCCESS, USER=bob
2026-01-06 09:03:10, IP=192.168.1.21, EVENT=LOGIN_SUCCESS, USER=dave
2026-01-06 09:03:45, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:03:50, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:03:55, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:04:00, IP=203.0.113.42, EVENT=LOGIN_FAILED, USER=root
2026-01-06 09:04:20, IP=10.0.0.5, EVENT=LOGOUT, USER=alice
2026-01-06 09:05:00, IP=192.168.1.20, EVENT=LOGIN_SUCCESS, USER=carol
2026-01-06 09:05:30, IP=198.51.100.7, EVENT=PORT_SCAN, USER=root
